order_id,order_date,customer_id,product_id,category,price,quantity,discount_pct,revenue,sales_channel,country,returned,customer_age,customer_gender
ORD100052,04-01-2024,CUST1812,PROD2245,Dresses,250.02,1,0,250.02,Website,USA,0,54,M
ORD100053,12-12-2021,CUST3182,PROD8018,Outerwear,25.34,1,15,21.54,Marketplace,India,0,58,M
ORD100054,30-07-2022,CUST3897,PROD3506,Dresses,221.47,2,0,442.94,Marketplace,India,0,45,M
ORD100055,28-04-2023,CUST2099,PROD6280,Accessories,250.07,1,0,250.07,Website,India,0,42,F
ORD100056,09-10-2022,CUST4485,PROD6325,Tops,67.58,1,0,67.58,Marketplace,UK,0,18,F
ORD100057,26-01-2021,CUST1350,PROD4954,Activewear,149.13,1,0,149.13,Mobile App,India,0,23,F
ORD100058,08-04-2022,CUST3833,PROD4986,Bottoms,176.56,1,0,176.56,Website,UK,0,62,F
ORD100059,19-09-2021,CUST2029,PROD4777,Tops,61.81,1,0,61.81,Marketplace,India,0,48,F
ORD100060,22-04-2023,CUST5000,PROD9595,Dresses,294.25,1,0,294.25,Website,India,0,26,F
ORD100061,18-06-2025,CUST1223,PROD5786,Outerwear,42.25,1,0,42.25,Marketplace,India,0,46,F
ORD100062,31-05-2025,CUST1210,PROD5136,Footwear,145.93,1,0,145.93,Website,USA,0,27,M
ORD100063,27-04-2025,CUST2244,PROD2395,Footwear,39.94,1,0,39.94,Marketplace,India,0,46,M
ORD100064,31-08-2021,CUST4523,PROD8025,Bottoms,188.2,1,0,188.2,Store Pickup,India,0,60,F
ORD100065,06-05-2021,CUST1711,PROD2229,Tops,125.51,1,0,125.51,Website,India,0,47,F
ORD100066,23-04-2021,CUST4784,PROD5334,Activewear,189.39,1,0,189.39,Website,India,0,35,M
ORD100067,26-05-2020,CUST1244,PROD3718,Activewear,180.54,1,0,180.54,Website,India,0,43,M
ORD100068,21-10-2022,CUST3211,PROD9090,Dresses,181.42,1,0,181.42,Mobile App,India,0,61,M
ORD100069,24-03-2023,CUST3404,PROD1339,Footwear,203.32,1,30,142.32,Website,India,0,35,F
ORD100070,13-04-2023,CUST2785,PROD9056,Footwear,143.65,1,0,143.65,Website,India,0,49,F
ORD100071,19-04-2025,CUST2640,PROD1601,Dresses,97.78,1,0,97.78,Website,India,0,60,M
ORD100072,04-08-2022,CUST2692,PROD1888,Tops,111.72,1,0,111.72,Marketplace,India,0,36,F
ORD100073,01-12-2023,CUST2985,PROD2989,Tops,190.86,1,0,190.86,Website,India,0,32,U
ORD100074,12-02-2025,CUST1464,PROD8560,Footwear,196.07,1,0,196.07,Website,UK,0,48,U
ORD100075,14-05-2021,CUST2870,PROD3369,Bottoms,276.95,1,0,276.95,Marketplace,India,0,44,F
ORD100076,01-06-2024,CUST3079,PROD5377,Accessories,88.44,1,0,88.44,Store Pickup,India,0,52,F
ORD100077,11-11-2021,CUST3260,PROD9903,Bottoms,280.19,1,0,280.19,Website,India,0,44,F
ORD100078,05-03-2024,CUST2937,PROD7246,Bottoms,200.79,1,0,200.79,Website,India,0,55,F
ORD100079,24-07-2020,CUST4580,PROD8213,Tops,273.58,1,30,191.51,Mobile App,India,0,34,F
ORD100080,19-11-2023,CUST2628,PROD2315,Accessories,256.44,1,0,256.44,Website,UK,0,52,F
ORD100081,20-05-2020,CUST1961,PROD5708,Footwear,225.3,1,25,168.98,Mobile App,India,0,37,M
ORD100082,04-04-2020,CUST2328,PROD1919,Bottoms,115.58,1,0,115.58,Mobile App,Germany,0,23,M
ORD100083,22-02-2022,CUST3538,PROD4945,Dresses,177.03,1,0,177.03,Website,USA,0,47,M
ORD100084,19-10-2023,CUST3238,PROD3588,Tops,283.84,2,0,567.68,Store Pickup,USA,0,37,F
ORD100085,26-02-2022,CUST4495,PROD8916,Tops,117.5,1,0,117.5,Mobile App,India,0,43,F
ORD100086,05-03-2023,CUST4543,PROD1803,Footwear,224.83,1,0,224.83,Marketplace,India,0,32,M
ORD100087,25-06-2023,CUST2026,PROD3240,Outerwear,271.5,1,0,271.5,Website,India,0,23,M
ORD100088,31-10-2021,CUST4061,PROD7807,Tops,43.99,1,0,43.99,Mobile App,France,0,34,M
ORD100089,17-04-2025,CUST2973,PROD5835,Activewear,104.92,1,0,104.92,Website,Australia,0,64,M
ORD100090,24-03-2022,CUST4961,PROD6992,Tops,121.4,1,10,109.26,Mobile App,USA,0,58,M
ORD100091,09-08-2020,CUST3764,PROD4830,Dresses,187.77,1,0,187.77,Mobile App,USA,0,47,M
ORD100092,10-09-2021,CUST3659,PROD7689,Tops,18.38,1,0,18.38,Website,India,0,42,F
ORD100093,05-10-2023,CUST4888,PROD9850,Dresses,223.97,1,0,223.97,Website,India,0,35,F
ORD100094,28-01-2022,CUST1889,PROD8264,Dresses,74.65,1,0,74.65,Website,France,0,21,F
ORD100095,23-01-2021,CUST4965,PROD3001,Footwear,248.14,1,25,186.1,Mobile App,India,0,33,U
ORD100096,30-05-2024,CUST3312,PROD4362,Tops,230.72,1,30,161.5,Website,UK,0,56,F
ORD100097,24-10-2024,CUST1592,PROD3129,Dresses,240.56,1,0,240.56,Website,India,0,55,F
ORD100098,22-12-2020,CUST2086,PROD1858,Tops,129.18,1,15,109.8,Marketplace,India,0,50,F
ORD100099,13-06-2023,CUST1177,PROD9543,Bottoms,194.79,1,0,194.79,Marketplace,India,0,63,M
ORD100100,30-05-2020,CUST4683,PROD2323,Bottoms,48.76,1,0,48.76,Mobile App,UK,0,56,F
ORD100101,18-07-2022,CUST3070,PROD8048,Tops,212.02,1,0,212.02,Marketplace,UK,0,46,M
ORD100102,27-04-2022,CUST2388,PROD8430,Bottoms,220.24,1,0,220.24,Website,Australia,0,48,F
ORD100103,30-08-2024,CUST1349,PROD2527,Dresses,224.65,1,0,224.65,Mobile App,India,0,25,F
ORD100104,24-11-2024,CUST3725,PROD7929,Accessories,217.71,2,0,435.42,Website,India,0,60,F
ORD100105,01-10-2024,CUST1443,PROD6736,Accessories,113.43,1,0,113.43,Marketplace,Germany,0,57,M
ORD100106,09-08-2023,CUST3280,PROD1430,Outerwear,199.06,1,10,179.15,Mobile App,India,0,18,F
ORD100107,20-10-2020,CUST3319,PROD7566,Tops,223.59,2,20,357.74,Website,India,0,41,F
ORD100108,26-10-2021,CUST4181,PROD2391,Accessories,50.9,1,0,50.9,Website,USA,0,46,F
ORD100109,17-03-2021,CUST4092,PROD9394,Tops,131.82,1,0,131.82,Website,USA,1,43,U
ORD100110,22-04-2020,CUST1031,PROD4349,Bottoms,67.31,1,0,67.31,Website,India,0,29,F
ORD100111,26-12-2022,CUST3882,PROD4770,Dresses,250.84,1,30,175.59,Mobile App,India,0,22,M
ORD100112,25-03-2023,CUST2758,PROD7626,Activewear,128.22,1,10,115.4,Website,Australia,0,62,M
ORD100113,29-06-2020,CUST2788,PROD2734,Tops,178.72,1,0,178.72,Website,India,0,28,F
ORD100114,20-07-2023,CUST1467,PROD9693,Dresses,272.25,1,0,272.25,Marketplace,Germany,0,27,F
ORD100115,21-12-2020,CUST3467,PROD3504,Activewear,198.38,1,0,198.38,Website,UK,0,46,M
ORD100116,11-12-2024,CUST3312,PROD6295,Accessories,190.03,1,15,161.53,Mobile App,Germany,0,40,F
ORD100117,27-09-2021,CUST2891,PROD8404,Tops,113.78,1,0,113.78,Store Pickup,India,0,42,F
ORD100118,09-02-2023,CUST4908,PROD1672,Dresses,243.9,1,0,243.9,Website,India,0,24,M
ORD100119,10-09-2024,CUST2406,PROD2381,Dresses,55.9,1,0,55.9,Website,India,0,41,M
ORD100120,04-03-2022,CUST2674,PROD6543,Outerwear,20.45,1,0,20.45,Website,India,0,34,M
ORD100121,06-09-2023,CUST4950,PROD3463,Bottoms,176.91,1,0,176.91,Store Pickup,USA,0,56,M
ORD100122,22-06-2020,CUST2268,PROD7171,Outerwear,101.9,1,0,101.9,Store Pickup,Australia,0,23,M
ORD100123,17-05-2022,CUST3082,PROD6928,Tops,96.12,2,0,192.24,Marketplace,India,0,27,F
ORD100124,25-09-2024,CUST4228,PROD2657,Dresses,164.23,1,0,164.23,Mobile App,France,0,56,F
ORD100125,28-11-2020,CUST1740,PROD3712,Activewear,17.89,1,0,17.89,Store Pickup,USA,0,46,F
ORD100126,04-05-2021,CUST2267,PROD8684,Footwear,62.23,1,0,62.23,Website,UK,0,50,F
ORD100127,01-06-2025,CUST1663,PROD4271,Accessories,45.83,1,0,45.83,Marketplace,India,0,51,M
ORD100128,06-08-2021,CUST1343,PROD3626,Bottoms,272.07,1,0,272.07,Store Pickup,India,0,40,M
ORD100129,29-04-2022,CUST1218,PROD7495,Dresses,74.55,2,0,149.1,Website,Australia,0,59,F
ORD100130,26-10-2020,CUST1563,PROD1627,Bottoms,249.78,1,25,187.34,Website,USA,0,19,F
ORD100131,06-09-2024,CUST1612,PROD9991,Footwear,184.62,1,0,184.62,Website,India,0,58,M
ORD100132,25-07-2022,CUST1257,PROD2816,Accessories,152.45,1,0,152.45,Mobile App,UK,0,18,M
ORD100133,07-05-2021,CUST3337,PROD7825,Tops,202.12,1,0,202.12,Store Pickup,India,0,50,F
ORD100134,10-03-2022,CUST4577,PROD8702,Tops,119.13,1,0,119.13,Website,India,0,60,M
ORD100135,29-04-2024,CUST3383,PROD6447,Tops,108.93,1,0,108.93,Marketplace,USA,0,48,M
ORD100136,19-07-2024,CUST1552,PROD2033,Activewear,283.36,1,30,198.35,Website,India,0,50,F
ORD100137,27-07-2024,CUST3224,PROD8756,Bottoms,227.22,1,0,227.22,Marketplace,France,0,25,M
ORD100138,13-06-2022,CUST4643,PROD7553,Activewear,268.92,1,0,268.92,Website,India,0,51,F
ORD100139,18-06-2020,CUST3978,PROD7955,Tops,182.72,1,0,182.72,Website,India,0,37,F
ORD100140,09-01-2024,CUST2745,PROD3730,Outerwear,108.71,1,0,108.71,Website,Australia,0,21,F
ORD100141,29-07-2023,CUST2663,PROD6952,Dresses,226.22,1,30,158.35,Mobile App,Germany,1,22,F
ORD100142,14-08-2023,CUST2500,PROD6933,Bottoms,172.34,1,0,172.34,Store Pickup,India,0,54,F
ORD100143,21-01-2022,CUST2630,PROD6150,Outerwear,78.64,1,0,78.64,Website,India,0,34,M
ORD100144,12-12-2023,CUST2827,PROD4515,Footwear,89.25,1,0,89.25,Website,France,0,63,F
ORD100145,28-06-2020,CUST4319,PROD6236,Outerwear,214.31,1,0,214.31,Website,India,0,62,M
ORD100146,13-06-2024,CUST2480,PROD9335,Tops,295.61,1,15,251.27,Website,India,0,53,F
ORD100147,15-12-2024,CUST1353,PROD2077,Bottoms,299.88,1,0,299.88,Marketplace,Germany,0,38,M
ORD100148,10-07-2022,CUST2908,PROD9476,Bottoms,264,1,0,264,Website,Australia,0,21,M
ORD100149,27-11-2022,CUST1626,PROD5982,Tops,100.18,1,0,100.18,Store Pickup,France,0,34,F
ORD100150,12-05-2025,CUST3256,PROD5496,Tops,94.33,1,0,94.33,Website,Australia,0,60,M
ORD100151,21-01-2025,CUST3478,PROD6531,Accessories,171.27,1,0,171.27,Store Pickup,UK,0,31,M
ORD100152,03-05-2022,CUST3531,PROD1496,Dresses,190.01,1,0,190.01,Website,Germany,0,37,F
ORD100153,11-11-2023,CUST1245,PROD3589,Dresses,147.85,1,0,147.85,Website,UK,0,40,U
ORD100154,24-09-2020,CUST4115,PROD7070,Dresses,36.32,1,15,30.87,Website,India,0,42,M
ORD100155,06-05-2022,CUST2016,PROD3616,Accessories,280.46,1,5,266.44,Website,India,0,37,F
ORD100156,03-07-2020,CUST4871,PROD7442,Dresses,290.17,1,0,290.17,Website,India,0,59,M
ORD100157,08-08-2021,CUST3198,PROD1133,Accessories,132.12,1,0,132.12,Marketplace,India,0,54,F
ORD100158,12-01-2022,CUST3266,PROD5728,Tops,153.76,1,0,153.76,Store Pickup,USA,0,24,F
ORD100159,15-06-2024,CUST2388,PROD6990,Activewear,63.72,1,0,63.72,Website,India,0,48,F
ORD100160,01-11-2020,CUST3483,PROD9446,Tops,279.75,1,0,279.75,Mobile App,Germany,0,50,M
ORD100161,26-12-2022,CUST3006,PROD5911,Dresses,9.91,1,15,8.42,Mobile App,Germany,0,62,M
ORD100162,07-05-2023,CUST2943,PROD5350,Footwear,235.96,1,0,235.96,Mobile App,India,0,58,M
ORD100163,05-05-2024,CUST4445,PROD7229,Tops,205.81,1,0,205.81,Website,India,0,27,F
ORD100164,21-02-2021,CUST2680,PROD9221,Activewear,276.55,1,0,276.55,Website,India,0,38,U
ORD100165,06-09-2022,CUST3152,PROD7173,Bottoms,56.09,1,0,56.09,Website,UK,0,59,M
ORD100166,25-06-2021,CUST3498,PROD8932,Tops,77.72,1,10,69.95,Marketplace,UK,0,49,F
ORD100167,15-12-2021,CUST3295,PROD5480,Bottoms,174.18,1,0,174.18,Website,India,0,27,F
ORD100168,12-08-2021,CUST4912,PROD2294,Bottoms,135.5,1,0,135.5,Website,India,0,62,F
ORD100169,11-08-2020,CUST3521,PROD4920,Tops,202.6,1,0,202.6,Website,India,0,24,M
ORD100170,08-10-2020,CUST1021,PROD3587,Dresses,280.83,1,0,280.83,Website,Australia,0,59,F
ORD100171,23-04-2024,CUST1366,PROD4804,Dresses,218.32,1,0,218.32,Website,France,0,20,U
ORD100172,24-03-2022,CUST4227,PROD9116,Tops,225.96,1,0,225.96,Website,India,0,39,F
ORD100173,06-08-2023,CUST3225,PROD9590,Dresses,281.88,1,0,281.88,Website,India,0,47,M
ORD100174,11-01-2024,CUST1762,PROD1230,Activewear,238.28,1,0,238.28,Website,France,0,45,F
ORD100175,26-06-2020,CUST2641,PROD2562,Tops,46.48,1,10,41.83,Website,India,0,39,F
ORD100176,20-01-2024,CUST3346,PROD1187,Bottoms,111.07,1,0,111.07,Website,India,0,63,M
ORD100177,14-11-2023,CUST1480,PROD5833,Bottoms,70.15,2,0,140.3,Website,Australia,0,62,F
ORD100178,22-08-2022,CUST4102,PROD9806,Accessories,248.55,1,0,248.55,Mobile App,Germany,0,51,M
ORD100179,08-06-2020,CUST4757,PROD2838,Tops,166.56,1,0,166.56,Website,India,0,25,M
ORD100180,08-01-2024,CUST3388,PROD9008,Tops,155.56,1,0,155.56,Mobile App,India,0,47,M
ORD100181,23-09-2021,CUST3962,PROD1356,Bottoms,245.85,1,0,245.85,Website,India,0,21,M
ORD100182,21-05-2020,CUST4824,PROD8734,Tops,125.62,1,0,125.62,Store Pickup,USA,0,42,F
ORD100183,21-02-2025,CUST4714,PROD7184,Bottoms,206.41,1,0,206.41,Mobile App,India,0,52,F
ORD100184,17-09-2020,CUST3981,PROD4648,Accessories,228.07,2,0,456.14,Mobile App,India,0,32,F
ORD100185,09-12-2021,CUST1635,PROD5516,Tops,263.19,1,25,197.39,Website,UK,0,19,F
ORD100186,17-05-2020,CUST1413,PROD1550,Dresses,203.25,1,0,203.25,Website,India,0,21,F
ORD100187,15-08-2021,CUST1959,PROD6224,Dresses,232.9,1,5,221.25,Store Pickup,India,0,35,F
ORD100188,26-04-2025,CUST3423,PROD3869,Outerwear,131.02,1,0,131.02,Store Pickup,USA,0,38,M
ORD100189,16-04-2022,CUST1611,PROD5913,Bottoms,227.55,1,0,227.55,Website,UK,0,21,F
ORD100190,05-06-2025,CUST2706,PROD9683,Tops,76.64,1,0,76.64,Store Pickup,Germany,0,64,M
ORD100191,15-04-2020,CUST2099,PROD7179,Outerwear,182.86,1,30,128,Mobile App,USA,0,31,M
ORD100192,12-11-2021,CUST2241,PROD1251,Tops,61.06,1,0,61.06,Marketplace,France,0,63,F
ORD100193,17-02-2025,CUST1980,PROD6269,Activewear,117.3,1,0,117.3,Website,India,0,24,M
ORD100194,19-01-2024,CUST2923,PROD6246,Footwear,114.36,1,0,114.36,Website,India,0,55,F
ORD100195,05-05-2022,CUST2209,PROD3497,Tops,72.86,1,20,58.29,Mobile App,USA,0,49,U
ORD100196,07-08-2023,CUST4029,PROD9037,Dresses,221.17,1,20,176.94,Website,France,0,59,U
ORD100197,09-12-2022,CUST1138,PROD2217,Footwear,202.12,1,0,202.12,Marketplace,India,0,18,F
ORD100198,22-07-2022,CUST2528,PROD1990,Outerwear,201.69,1,0,201.69,Website,India,0,18,F
ORD100199,19-01-2024,CUST2125,PROD9777,Footwear,10.06,1,0,10.06,Marketplace,France,0,24,F
ORD100200,08-05-2021,CUST1786,PROD9625,Bottoms,109.56,1,15,93.13,Website,India,0,37,M
ORD100201,02-10-2024,CUST1330,PROD1519,Tops,116.88,1,0,116.88,Mobile App,India,0,59,M
ORD100202,04-03-2023,CUST4514,PROD2562,Accessories,276.15,1,0,276.15,Mobile App,India,0,22,M
ORD100203,28-07-2021,CUST4683,PROD9897,Dresses,14.71,1,0,14.71,Store Pickup,India,0,63,M
ORD100204,17-03-2025,CUST1315,PROD5903,Tops,75.94,1,0,75.94,Marketplace,India,0,26,M
ORD100205,12-11-2023,CUST3966,PROD2284,Dresses,292.43,1,0,292.43,Marketplace,India,0,56,F
ORD100206,03-05-2024,CUST2336,PROD1485,Outerwear,236.15,1,20,188.92,Store Pickup,India,0,60,F
ORD100207,30-04-2024,CUST3533,PROD5839,Activewear,215.37,1,25,161.53,Marketplace,India,0,41,F
ORD100208,11-01-2020,CUST4862,PROD6050,Dresses,229.6,1,15,195.16,Website,India,0,19,F
ORD100209,09-02-2023,CUST1381,PROD6315,Accessories,8.64,1,0,8.64,Mobile App,India,0,33,F
ORD100210,13-12-2020,CUST3807,PROD7237,Tops,84.33,1,5,80.11,Website,India,0,22,F
ORD100211,17-04-2025,CUST2010,PROD9123,Dresses,62.69,1,0,62.69,Store Pickup,India,0,39,F
ORD100212,31-05-2022,CUST4340,PROD3230,Bottoms,182.95,1,0,182.95,Website,India,0,65,M
ORD100213,02-10-2022,CUST4963,PROD4971,Bottoms,87.69,1,0,87.69,Store Pickup,India,0,29,M
ORD100214,31-01-2023,CUST1110,PROD8563,Footwear,66.85,1,0,66.85,Website,Germany,0,61,F
ORD100215,21-07-2023,CUST2240,PROD4965,Bottoms,50.47,1,0,50.47,Website,India,0,52,F
ORD100216,27-02-2025,CUST4562,PROD7853,Dresses,238.26,1,0,238.26,Mobile App,USA,0,33,M
ORD100217,28-12-2021,CUST1681,PROD1725,Dresses,195.28,1,0,195.28,Website,Germany,0,24,F
ORD100218,11-11-2022,CUST4059,PROD9499,Dresses,207.86,1,0,207.86,Website,USA,0,27,F
ORD100219,20-02-2020,CUST2977,PROD2712,Bottoms,276.56,1,0,276.56,Mobile App,India,0,31,F
ORD100220,14-12-2021,CUST2950,PROD2599,Dresses,210.55,1,0,210.55,Marketplace,India,0,59,F
ORD100221,26-06-2024,CUST1673,PROD4996,Dresses,167.81,1,0,167.81,Website,Germany,0,29,M
ORD100222,04-06-2022,CUST2620,PROD1478,Activewear,265.51,1,0,265.51,Website,India,0,63,M
ORD100223,08-05-2020,CUST3364,PROD2667,Activewear,163.38,1,0,163.38,Website,France,0,58,F
ORD100224,06-03-2022,CUST3503,PROD7431,Dresses,107.64,1,0,107.64,Marketplace,UK,0,57,F
ORD100225,08-10-2023,CUST1548,PROD6131,Tops,95.09,1,0,95.09,Mobile App,India,0,42,F
ORD100226,23-09-2022,CUST3603,PROD9804,Outerwear,195.35,2,0,390.7,Website,India,0,46,M
ORD100227,07-11-2024,CUST2470,PROD1157,Dresses,62.56,1,0,62.56,Mobile App,India,0,63,M
ORD100228,27-09-2022,CUST1685,PROD2354,Dresses,239.78,1,5,227.79,Mobile App,India,0,65,M
ORD100229,11-10-2022,CUST3251,PROD9369,Tops,38.69,1,0,38.69,Website,Germany,1,64,F
ORD100230,23-03-2021,CUST2741,PROD2677,Activewear,197.83,1,0,197.83,Website,India,0,23,F
ORD100231,28-08-2020,CUST4176,PROD4882,Tops,222.6,1,0,222.6,Mobile App,India,0,31,M
ORD100232,07-07-2024,CUST1243,PROD6747,Dresses,181.07,1,0,181.07,Website,India,0,50,U
ORD100233,23-10-2023,CUST4338,PROD2560,Tops,226.28,1,10,203.65,Marketplace,India,0,33,F
ORD100234,21-10-2021,CUST4393,PROD5055,Activewear,204.49,1,0,204.49,Website,India,0,58,M
ORD100235,23-04-2024,CUST1381,PROD7600,Dresses,87.08,1,0,87.08,Store Pickup,India,1,64,F
ORD100236,13-06-2025,CUST2877,PROD6869,Accessories,239.72,1,0,239.72,Marketplace,India,0,36,F
ORD100237,29-03-2023,CUST1534,PROD8951,Activewear,268.78,1,25,201.58,Marketplace,India,0,28,F
ORD100238,02-01-2020,CUST4924,PROD8009,Tops,208.13,1,0,208.13,Website,Australia,0,59,F
ORD100239,17-06-2020,CUST2523,PROD3711,Tops,189.55,1,0,189.55,Website,India,0,31,F
ORD100240,28-09-2020,CUST3431,PROD4705,Dresses,136.29,1,0,136.29,Website,France,0,48,F
ORD100241,23-02-2022,CUST1365,PROD2678,Tops,113.43,1,0,113.43,Marketplace,France,0,61,F
ORD100242,22-12-2022,CUST3307,PROD1138,Outerwear,53.41,1,25,40.06,Website,India,0,31,F
ORD100243,24-07-2020,CUST1573,PROD3017,Dresses,118.29,2,0,236.58,Website,India,0,53,M
ORD100244,16-01-2024,CUST3488,PROD5668,Activewear,208.69,1,0,208.69,Website,India,0,65,F
ORD100245,16-08-2023,CUST1223,PROD4921,Dresses,38.26,1,0,38.26,Mobile App,Australia,0,38,F
ORD100246,28-10-2024,CUST4436,PROD7895,Bottoms,206.47,1,0,206.47,Marketplace,India,0,34,F
ORD100247,04-03-2025,CUST1247,PROD7520,Dresses,190.43,1,0,190.43,Mobile App,India,0,57,F
ORD100248,20-06-2020,CUST2269,PROD2294,Dresses,64.94,1,0,64.94,Website,USA,0,61,M
ORD100249,27-09-2021,CUST3861,PROD8167,Activewear,254.71,1,15,216.5,Website,USA,0,60,M
ORD100250,25-02-2024,CUST1719,PROD2956,Tops,45.48,1,0,45.48,Website,India,0,34,F
ORD100251,16-09-2020,CUST4071,PROD5403,Activewear,39.83,1,0,39.83,Website,India,0,54,M
ORD100252,13-10-2022,CUST2864,PROD9368,Bottoms,152.38,1,0,152.38,Website,India,0,64,F
